sep=;
"Series";"Time";"Value"
"Host atacante";"2019-01-21T17:29:00-05:00";0
"Host atacante";"2019-01-21T17:29:30-05:00";0
"Host atacante";"2019-01-21T17:30:00-05:00";0
"Host atacante";"2019-01-21T17:30:30-05:00";0
"Host cliente";"2019-01-21T17:29:00-05:00";0
"Host cliente";"2019-01-21T17:29:30-05:00";0
"Host cliente";"2019-01-21T17:30:00-05:00";0
"Host cliente";"2019-01-21T17:30:30-05:00";0
"Host servidor";"2019-01-21T17:29:00-05:00";0
"Host servidor";"2019-01-21T17:29:30-05:00";0
"Host servidor";"2019-01-21T17:30:00-05:00";0
"Host servidor";"2019-01-21T17:30:30-05:00";0
